Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Lending interest rate (%),FR.INR.LEND,Argentina,ARG,..,..,10.5575,14.0875,14.0608333333333,17.1491666666667,24.0091666666667,24.9158333333333,31.2325,26.5808333333333,48.5166666666667,67.2558333333333
Lending interest rate (%),FR.INR.LEND,Brazil,BRA,..,56.83,39.9916666666667,43.8833333333333,36.6366666666667,27.3916666666667,32.0083333333333,43.9583333333333,52.1,46.9166666666667,39.0833333333333,37.475
Lending interest rate (%),FR.INR.LEND,Canada,CAN,14.0625,7.27083333333333,2.60416666666667,3,3,3,3,2.775,2.7,2.7,..,..
Lending interest rate (%),FR.INR.LEND,China,CHN,9.36,5.85,5.81,6.56,6,6,5.6,4.35,4.35,4.35,4.35,4.35
Lending interest rate (%),FR.INR.LEND,Chile,CHL,48.8691791893508,14.8433912347788,4.75482680518703,9.03015252269429,10.0572624433615,9.26187678192101,8.09805824839012,5.51492732291402,5.58839657725206,4.55285507889072,4.17801925025561,..
Lending interest rate (%),FR.INR.LEND,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Czech Republic,CZE,..,7.16225,5.88783333333333,5.71783333333333,5.40672323724727,4.96989301373891,4.64490546444,4.28253332923937,3.9072462757748,3.58974364323778,3.54161587741081,3.6860317073978
Lending interest rate (%),FR.INR.LEND,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Israel,ISR,..,12.8456406333333,4.96482633333333,5.9691471,5.55151084166667,4.53433612462771,3.90743164221445,3.45940579970678,3.42015574375788,3.49731030066808,3.47760649522146,3.54433924622006
Lending interest rate (%),FR.INR.LEND,Italy,ITA,14.85225,7.02274166666667,4.03166666666667,4.59916666666667,5.2225,5.14416666666667,4.86666666666667,4.12925,3.49616666666667,3.00083333333333,2.68,2.6025
Lending interest rate (%),FR.INR.LEND,Japan,JPN,6.86433333333333,2.06716666666667,1.59833333333333,1.50091666666667,1.4075,1.30375,1.21916666666667,1.14283333333333,1.04475,0.994,..,..
Lending interest rate (%),FR.INR.LEND,"Korea, Rep.",KOR,..,8.545,5.51166666666667,5.7575,5.39583333333333,4.64333333333333,4.26333333333333,3.53333333333333,3.3675,3.47666666666667,3.6625,3.44583333333333
Lending interest rate (%),FR.INR.LEND,Mexico,MEX,..,16.9283333333333,5.28666666666667,4.91583333333333,4.73083333333333,4.25166666666667,3.55166666666667,3.4225,4.71833333333333,7.33916666666667,8.08083333333333,8.475
Lending interest rate (%),FR.INR.LEND,New Zealand,NZL,..,7.81455131994762,6.25545424755873,6.10883251498722,5.82383752043118,5.53306960008471,5.80416666666667,5.7625,5.02083333333333,4.76,..,..
Lending interest rate (%),FR.INR.LEND,Netherlands,NLD,..,4.79166666666667,1.75,2,1.625,1.5,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Nicaragua,NIC,22,18.1432530013328,13.3199668556874,10.5378350892065,11.9943081563015,14.9846018898851,13.5379413593366,12.0523546187589,11.4382974497807,10.7806044298079,10.8957854531661,12.4572600828874
Lending interest rate (%),FR.INR.LEND,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Russian Federation,RUS,..,24.4333333333333,10.8166666666667,8.45833333333333,9.1,9.46666666666667,11.1416666666667,15.7166666666667,12.5983333333333,10.56,8.86666666666667,8.75333333333333
Lending interest rate (%),FR.INR.LEND,Singapore,SGP,7.3625,5.83333333333333,5.38,5.38,5.38,5.38,5.35,5.35,5.35,5.28,5.33,5.25
Lending interest rate (%),FR.INR.LEND,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Sweden,SWE,..,5.7725,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Turkey,TUR,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,United States,USA,10.0091666666667,9.23333333333333,3.25,3.25,3.25,3.25,3.25,3.26,3.51166666666667,4.09666666666667,4.90416666666667,5.2825
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 08/18/2020,,,,,,,,,,,,,,,
